Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Super Mario 64,N64,1996,Nintendo,11.89,11.89
Mario Kart 64,N64,1996,Nintendo,9.87,9.87
Crash Bandicoot,PS,1996,Sony Computer Entertainment,6.82,6.82
Tekken 2,PS,1996,Sony Computer Entertainment,5.74,5.74
Resident Evil,MULTI,1996,Virgin Interactive,5.05,5.34
Tomb Raider,PS,1996,Eidos Interactive,4.63,4.63
Namco Museum Vol.3,PS,1996,Sony Computer Entertainment,4.05,4.05
Resident Evil Director's Cut,MULTI,1996,Virgin Interactive,3.77,3.81
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Nintendo,3.51,3.51
Wave Race 64,N64,1996,Nintendo,2.94,2.94
Mortal Kombat Trilogy,MULTI,1996,GT Interactive,2.79,3.75
Star Wars: Shadows of the Empire,N64,1996,Nintendo,2.65,2.65
Twisted Metal 2,PS,1996,Sony Computer Entertainment,2.44,2.44
Tetris Plus,PS,1996,JVC,2.4,2.4
Super Mario RPG: Legend of the Seven Stars,SNES,1996,Nintendo,2.14,2.14
PaRappa The Rapper,PS,1996,Sony Computer Entertainment,1.92,1.92
Jet Moto,PS,1996,Sony Computer Entertainment,1.83,1.83
Cruis'n USA,N64,1996,Nintendo,1.74,1.74
Soul Edge,PS,1996,Sony Computer Entertainment,1.59,1.59
Die Hard Trilogy,PS,1996,Fox Interactive,1.54,1.54
NASCAR 98,PS,1996,Electronic Arts,1.52,1.52
Kirby Super Star,SNES,1996,Nintendo,1.44,1.44
2Xtreme,PS,1996,Sony Computer Entertainment,1.4,1.4
Dragon Quest III: Soshite Densetsu e...,SNES,1996,Enix Corporation,1.36,1.36
Madden NFL 97,PS,1996,Electronic Arts,1.32,1.32
TNN Motor Sports Hardcore 4x4,PS,1996,ASC Games,1.31,1.31
Reel Fishing,PS,1996,Natsume,1.25,1.25
SimCity 2000,MULTI,1996,Maxis,1.22,1.99
Soviet Strike,PS,1996,Electronic Arts,1.17,1.17
Rage Racer,PS,1996,Sony Computer Entertainment,1.17,1.17
Destruction Derby 2,PS,1996,Psygnosis,1.17,1.17
