,Rank,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
71,72,Donkey Kong Country,SNES,1994,Nintendo,9.3,9.3
389,390,Final Fantasy III,SNES,1994,SquareSoft,3.42,4.82
952,954,Sonic & Knuckles,GEN,1994,Sega,1.82,1.82
968,970,Disney's The Lion King,SNES,1994,Virgin Interactive,1.79,3.2
991,993,Sonic the Hedgehog 3,GEN,1994,Sega,1.76,1.76
1221,1223,Mortal Kombat 3,SNES,1994,Acclaim Entertainment,1.53,3.42
1360,1362,Super Metroid,SNES,1994,Nintendo,1.42,1.42
1567,1569,Battle Arena Toshinden,PS,1994,Sony Computer Entertainment,1.27,1.27
1841,1843,NBA Jam Tournament Edition,GEN,1994,Acclaim Entertainment,1.11,2.37
1923,1925,Virtua Fighter,SAT,1994,Sega,1.07,1.07
2289,2291,Super Momotarou Dentetsu III,SNES,1994,Hudson Soft,0.91,0.91
2379,2381,Derby Stallion II,SNES,1994,ASCII Entertainment,0.87,0.87
2534,2536,Kamaitachi no Yoru,SNES,1994,ChunSoft,0.81,0.81
2537,2539,Super Bomberman 2,SNES,1994,Hudson Soft,0.81,0.81
2550,2552,EarthBound,SNES,1994,Nintendo,0.81,0.81
2601,2603,Ridge Racer,PS,1994,Sony Computer Entertainment,0.79,0.79
2634,2636,Doom,PS,1994,Infogrames,0.78,0.78
2906,2908,Super Bomberman 3,SNES,1994,Hudson Soft,0.7,0.7
2938,2940,Fire Emblem: Monsh? no Nazo,SNES,1994,Nintendo,0.7,0.7
3435,3437,Kirby's Dream Course,SNES,1994,Nintendo,0.59,0.59
3505,3507,Theme Park,PS,1994,Electronic Arts,0.57,0.6499999999999999
3609,3611,Fatal Fury Special,SNES,1994,Takara,0.56,0.56
3636,3638,Daytona USA,SAT,1994,Sega,0.55,0.55
3781,3783,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Tecmo Koei,0.53,0.66
3812,3814,J-League Soccer: Prime Goal 2,SNES,1994,Namco Bandai Games,0.53,0.53
